,Brand,Product Type,Product Name,Description,Price,Sales Price,Color,Material,Product URL,Picture URL,Timestamp,Gender,New Arrival
145,Kowtow,none,BUILDING BLOCK PANT,"A slim fit pant with a tapered leg, made from mid-weight organic cotton jersey. The pants have both side and back pockets, and are finished with a ribbed elastic waistband and drawcord. To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam. A ",US$ 105,US$ 69,INK,"['190gsm', 'fairganic', 'seed-to-garment""']",https://us.kowtowclothing.com/products/building-block-pant-ink,//cdn.shopify.com/s/files/1/2182/6091/products/building_block_pant-ink-lookbook-0002_grande.jpg?v=1629795761,2022-03-15 21:54:36.057923,unisex,False
146,Kowtow,none,EAMES DRESS,"A sleeveless pinafore dress featuring a cross-over back, made from a mid-weight organic cotton denim. The dress features front patch pockets, and can be worn on its own, or layered over your favourite shirt or tee.",US$ 249,US$ 149,WORKWEAR BLUE DENIM,"['11oz', 'fairganic', 'seed-to-garment""']",https://us.kowtowclothing.com/products/eames-dress-workwear-blue-denim,//cdn.shopify.com/s/files/1/2182/6091/products/eames_dress-workwear_blue_denim-lookbook-0001_grande.jpg?v=1629795882,2022-03-15 21:54:36.322171,unisex,False
147,Kowtow,none,UNISEX EVERYDAY TRACK PANT,"Relaxed fit unisex track pants made from a brushed organic cotton sweatshirting. The pants feature front seam pockets and are finished with a wide elastic rib waistband and drawcord.To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam. A sign",US$ 145,US$ 89,LILAC,"['380gsm', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/building-block-everyday-track-pant-lilac,//cdn.shopify.com/s/files/1/2182/6091/products/everyday_track_pant-lilac-lookbook-0009_grande.jpg?v=1627533186,2022-03-15 21:54:36.578786,unisex,False
148,Kowtow,none,UNISEX EVERYDAY CREW,"A crew neck unisex sweater made from brushed organic cotton sweatshirting, featuring a raglan sleeve.To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam. A signifier that it, and its wearer are part of the movement towards a better future.",US$ 185,US$ 109,LILAC,"['380gsm', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/building-block-everyday-crew-lilac,//cdn.shopify.com/s/files/1/2182/6091/products/everyday_crew-lilac-lookbook-0015_grande.jpg?v=1627533243,2022-03-15 21:54:36.838922,unisex,False
149,Kowtow,none,CALDER SWEATER,"A uniquely shaped sweater made from brushed organic cotton sweatshirting. It features a boat neckline, and a curved hem.To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam. A signifier that it, and its wearer are part of the movement towards",US$ 145,US$ 69,LILAC,"['380gsm', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/building-block-calder-sweater-lilac,//cdn.shopify.com/s/files/1/2182/6091/products/calder_sweater-lilac-lookbook-0002_grande.jpg?v=1627533226,2022-03-15 21:54:37.101395,unisex,False
150,Kowtow,none,UNISEX STANDARD JEANS,"Unisex jeans with a tapered leg and an elasticated waistband for a relaxed fit. They feature front pleats, have both side seam and back patch pockets, and are fastened with nickel-free tacks in a concealed front fly .",US$ 219,US$ 109,WORKWEAR BLUE DENIM,"['11oz', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/standard-jeans-workwear-blue-denim,//cdn.shopify.com/s/files/1/2182/6091/products/standard_jeans-workwear_blue_denim-lookbook-0003_grande.jpg?v=1639558278,2022-03-15 21:54:37.373129,unisex,False
151,Kowtow,none,UNISEX EVERYDAY JACKET,"A workwear jacket with some trench coat design elements. It fastens at the front with nickel-free tacks and features two front patch pockets. The sleeve is sculpted and raglan in shape, allowing for ease of movement.",US$ 265,US$ 159,WORKWEAR BLUE DENIM,"['11oz', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/everyday-jacket-workwear-blue-denim,//cdn.shopify.com/s/files/1/2182/6091/products/everyday_jacket-workwear_blue_denim-lookbook-0009_grande.jpg?v=1627533159,2022-03-15 21:54:37.696183,unisex,False
152,Kowtow,none,UNISEX STRIPE CREW,"A long sleeve unisex rugby knit sweater featuring a crew neckline.To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam. A signifier that it, and its wearer are part of the movement towards a better future.",US$ 129,US$ 79,BLUE STRIPE,"['300gsm', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/building-block-stripe-crew-blue-stripe,//cdn.shopify.com/s/files/1/2182/6091/products/stripe_crew-blue_stripe-lookbook-0002_grande.jpg?v=1627533250,2022-03-15 21:54:37.971805,unisex,False
153,Kowtow,none,UNISEX FISHERMAN SCARF,"A long knitted scarf, made from organic cotton.",US$ 155,US$ 89,GRASS,"['tuck-stitch', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/fisherman-scarf-grass,//cdn.shopify.com/s/files/1/2182/6091/products/fisherman_scarf-grass-lookbook-0026_grande.jpg?v=1627533097,2022-03-15 21:54:38.424453,unisex,False
154,Kowtow,none,UNISEX BEANIE,"A rib knitted beanie with a rolled hem, made from organic cotton.",US$ 75,US$ 49,GRASS,"['rib-knit', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/beanie-grass,//cdn.shopify.com/s/files/1/2182/6091/products/beanie-grass-lookbook-0045_grande.jpg?v=1639558240,2022-03-15 21:54:38.721830,unisex,False
155,Kowtow,none,UNISEX FISHERMAN CREW,"A relaxed, unisex jumper featuring a raglan sleeve, and ribbing at the neckline and cuffs.",US$ 215,US$ 129,GRASS,"['tuck-stitch', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/fisherman-crew-grass,//cdn.shopify.com/s/files/1/2182/6091/products/fisherman_crew-grass-lookbook-0002_grande.jpg?v=1641214551,2022-03-15 21:54:39.297595,unisex,False
156,Kowtow,none,UNISEX EVERYDAY JACKET,"A workwear jacket with some trench coat design elements. It fastens at the front with nickel-free tacks and features two front patch pockets. The sleeve is sculpted and raglan in shape, allowing for ease of movement.",US$ 265,US$ 159,GREIGE DENIM,"['11oz', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/everyday-jacket-greige-denim,//cdn.shopify.com/s/files/1/2182/6091/products/everyday_jacket-greige_denim-lookbook-0001_grande.jpg?v=1627533152,2022-03-15 21:54:39.580565,unisex,False
157,Kowtow,none,UNISEX STANDARD JEANS,"Unisex jeans with a tapered leg and an elasticated waistband for a relaxed fit. They feature front pleats, have both side seam and back patch pockets, and are fastened with nickel-free tacks in a concealed front fly .",US$ 219,US$ 109,GREIGE DENIM,"['11oz', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/standard-jeans-greige-denim,//cdn.shopify.com/s/files/1/2182/6091/products/standard_jeans-greige_denim-lookbook-0007_grande.jpg?v=1627533119,2022-03-15 21:54:39.849793,unisex,False
